# Interaction rate with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
13.900	2.008805e-01	4.180605e-01	3.189577e-07	5.846845e-04
13.910	2.064631e-01	4.248949e-01	3.237753e-07	5.959965e-04
13.920	2.121610e-01	4.308231e-01	3.286122e-07	6.075055e-04
13.930	2.175972e-01	4.235180e-01	3.335304e-07	6.193728e-04
13.940	2.232905e-01	4.295983e-01	3.385482e-07	6.316689e-04
13.950	2.273393e-01	4.355696e-01	3.435918e-07	6.443176e-04
13.960	2.331125e-01	4.032436e-01	3.488091e-07	6.575164e-04
13.970	2.388566e-01	4.088884e-01	3.540490e-07	6.710064e-04
13.980	2.434181e-01	3.986491e-01	3.594106e-07	6.850263e-04
13.990	2.491168e-01	4.044565e-01	3.648169e-07	6.994492e-04
14.000	2.507536e-01	4.101298e-01	3.703819e-07	7.145398e-04
14.010	2.565506e-01	3.794511e-01	3.759912e-07	7.299981e-04
14.020	2.604315e-01	3.848833e-01	3.817065e-07	7.459744e-04
14.030	2.661248e-01	3.901762e-01	3.875506e-07	7.625727e-04
14.040	2.648836e-01	3.837534e-01	3.934458e-07	7.797488e-04
14.050	2.706276e-01	3.890950e-01	3.995517e-07	7.977385e-04
14.060	2.763057e-01	3.599458e-01	4.057089e-07	8.161749e-04
14.070	2.785135e-01	3.650817e-01	4.120191e-07	8.353324e-04
14.080	2.840507e-01	3.700624e-01	4.184171e-07	8.551304e-04
14.090	2.800669e-01	3.609543e-01	4.250105e-07	8.758459e-04
14.100	2.857041e-01	3.660286e-01	4.316910e-07	8.972240e-04
14.110	2.875985e-01	3.712397e-01	4.385190e-07	9.192864e-04
14.120	2.930641e-01	3.432762e-01	4.455225e-07	9.422218e-04
14.130	2.863442e-01	3.480133e-01	4.526204e-07	9.660032e-04
14.140	2.918466e-01	3.422173e-01	4.599927e-07	9.908618e-04
14.150	2.972593e-01	3.469893e-01	4.674653e-07	1.016511e-03
14.160	2.970740e-01	3.518582e-01	4.751460e-07	1.043043e-03
14.170	3.022826e-01	3.253252e-01	4.829805e-07	1.070466e-03
14.180	2.933042e-01	3.297723e-01	4.910117e-07	1.099014e-03
14.190	2.986199e-01	3.216620e-01	4.993268e-07	1.128848e-03
14.200	2.987246e-01	3.261947e-01	5.077992e-07	1.159586e-03
14.210	3.038281e-01	3.307138e-01	5.165215e-07	1.191280e-03
14.220	2.927301e-01	3.056522e-01	5.254104e-07	1.224100e-03
14.230	2.978601e-01	3.098679e-01	5.346778e-07	1.258368e-03
14.240	3.028880e-01	3.046365e-01	5.441285e-07	1.293769e-03
14.250	3.008362e-01	3.088722e-01	5.538803e-07	1.330413e-03
14.260	3.056216e-01	3.130451e-01	5.638859e-07	1.367978e-03
14.270	2.929831e-01	2.893414e-01	5.741934e-07	1.406988e-03
14.280	2.978848e-01	2.932993e-01	5.848977e-07	1.447629e-03
14.290	2.966086e-01	2.859347e-01	5.958807e-07	1.489483e-03
14.300	3.012789e-01	2.899278e-01	6.072287e-07	1.532687e-03
