# Interaction rate with the URB_Protheroe96
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
15.890	6.097259e-08	2.697312e-04	2.486472e-15	1.831596e-11
15.900	6.445951e-08	2.835791e-04	2.628432e-15	1.936627e-11
15.910	6.814514e-08	2.981178e-04	2.778521e-15	2.047688e-11
15.920	7.204074e-08	3.133807e-04	2.937205e-15	2.165125e-11
15.930	7.615821e-08	3.294025e-04	3.104977e-15	2.289306e-11
15.940	8.051012e-08	3.462197e-04	3.282360e-15	2.420616e-11
15.950	8.510975e-08	3.638702e-04	3.469905e-15	2.559466e-11
15.960	8.997112e-08	3.823940e-04	3.668194e-15	2.706289e-11
15.970	9.510903e-08	4.018326e-04	3.877846e-15	2.861541e-11
15.980	1.005391e-07	4.222296e-04	4.099512e-15	3.025708e-11
15.990	1.062779e-07	4.436303e-04	4.333881e-15	3.199301e-11
16.000	1.123429e-07	4.660824e-04	4.581684e-15	3.382860e-11
16.010	1.187524e-07	4.896356e-04	4.843692e-15	3.576958e-11
16.020	1.255259e-07	5.143417e-04	5.120720e-15	3.782200e-11
16.030	1.326840e-07	5.402550e-04	5.413631e-15	3.999226e-11
16.040	1.402484e-07	5.674322e-04	5.723337e-15	4.228711e-11
16.050	1.482419e-07	5.959325e-04	6.050802e-15	4.471370e-11
16.060	1.566888e-07	6.258177e-04	6.397046e-15	4.727959e-11
16.070	1.656146e-07	6.571523e-04	6.763148e-15	4.999278e-11
16.080	1.750462e-07	6.900039e-04	7.150248e-15	5.286170e-11
16.090	1.850122e-07	7.244428e-04	7.559553e-15	5.589530e-11
16.100	1.955425e-07	7.605425e-04	7.992336e-15	5.910301e-11
16.110	2.066689e-07	7.983798e-04	8.449948e-15	6.249482e-11
16.120	2.184249e-07	9.277860e-04	8.933814e-15	6.608128e-11
16.130	2.308458e-07	9.569974e-04	9.445442e-15	6.987355e-11
16.140	2.439690e-07	9.874693e-04	9.986426e-15	7.388343e-11
16.150	2.578339e-07	1.019259e-03	1.055845e-14	7.812338e-11
16.160	2.724821e-07	1.052425e-03	1.116331e-14	8.260660e-11
16.170	2.879574e-07	1.087030e-03	1.180287e-14	8.734701e-11
16.180	3.043062e-07	1.123138e-03	1.247914e-14	9.235935e-11
16.190	3.215773e-07	1.160818e-03	1.319422e-14	9.765919e-11
16.200	3.398225e-07	1.200139e-03	1.395034e-14	1.032630e-10
16.210	3.590961e-07	1.241176e-03	1.474986e-14	1.091882e-10
16.220	3.794557e-07	1.284005e-03	1.559528e-14	1.154531e-10
16.230	4.009618e-07	1.328708e-03	1.648922e-14	1.220772e-10
16.240	4.236785e-07	1.375367e-03	1.743447e-14	1.290812e-10
16.250	4.476733e-07	1.424070e-03	1.843399e-14	1.364866e-10
16.260	4.730175e-07	1.514648e-03	1.949088e-14	1.443164e-10
16.270	4.997862e-07	1.562528e-03	2.060844e-14	1.525950e-10
16.280	5.280587e-07	1.612431e-03	2.179016e-14	1.613480e-10
16.290	5.579189e-07	1.664447e-03	2.303972e-14	1.706025e-10
16.300	5.894548e-07	1.718668e-03	2.436101e-14	1.803871e-10
16.310	6.227597e-07	1.775193e-03	2.575815e-14	1.907322e-10
16.320	6.579318e-07	1.834121e-03	2.723550e-14	2.016699e-10
16.330	6.950748e-07	1.895560e-03	2.879766e-14	2.132338e-10
16.340	7.342979e-07	1.959619e-03	3.044950e-14	2.254598e-10
16.350	7.757165e-07	2.026413e-03	3.219616e-14	2.383857e-10
16.360	8.194521e-07	2.096062e-03	3.404309e-14	2.520515e-10
16.370	8.656330e-07	2.300321e-03	3.599604e-14	2.664993e-10
16.380	9.143944e-07	2.359576e-03	3.806110e-14	2.817737e-10
16.390	9.658791e-07	2.421099e-03	4.024469e-14	2.979220e-10
16.400	1.020237e-06	2.484987e-03	4.255363e-14	3.149939e-10
16.410	1.077628e-06	2.551338e-03	4.499509e-14	3.330421e-10
16.420	1.138217e-06	2.620258e-03	4.757667e-14	3.521222e-10
16.430	1.202183e-06	2.691854e-03	5.030643e-14	3.722931e-10
16.440	1.269710e-06	2.766240e-03	5.319285e-14	3.936167e-10
16.450	1.340995e-06	2.843533e-03	5.624491e-14	4.161589e-10
16.460	1.416244e-06	2.982784e-03	5.947212e-14	4.399889e-10
16.470	1.495675e-06	3.059315e-03	6.288451e-14	4.651799e-10
16.480	1.579517e-06	3.138724e-03	6.649270e-14	4.918096e-10
16.490	1.668013e-06	3.221129e-03	7.030791e-14	5.199595e-10
16.500	1.761418e-06	3.306656e-03	7.434200e-14	5.497163e-10
16.510	1.860000e-06	3.395434e-03	7.860752e-14	5.811712e-10
16.520	1.964043e-06	3.487598e-03	8.311772e-14	6.144207e-10
16.530	2.073845e-06	3.583288e-03	8.788662e-14	6.495666e-10
16.540	2.189721e-06	3.822686e-03	9.292903e-14	6.867168e-10
